"ADM2_CODE";"ADM2_NAME";"ADM1_CODE";"ADM1_NAME";"pop_total";"Aguna";"Aja";"Akan";"Anii";"Arabic";"Ayizo_Gbe";"Baatonum";"Bambara";"Biali";"Boko";"Boo";"Borgu_Fulfulde";"Bozo";"Contimba";"Defi_Gbe";"Dendi";"Ditammari";"Dyula";"Ede_Cabe";"Ede_Idaca";"Ede_Ije";"English";"Ewe";"Fon";"French";"Gagamba";"Gando";"Gen";"Gorgal_Fulfulde";"Gourmanchéma";"Gun";"Hausa";"Ifè";"Igbo";"Kabiye";"Kotafon_Gbe";"Kotokoli";"Lekpa";"Lingala";"Maxi_Gbe";"Mbelime";"Mioybe";"Mobaa";"Mokole";"Mossi";"Nateni";"Northern_Nago";"Partago";"Saxwe_Gbe";"Senufo";"Seto_Gbe";"Songhay";"Soninke";"Southern_Nago";"Taneka";"Tem";"Tofin_Gbe";"Toli_Gbe";"Waama";"Waci_Gbe";"Weme_Gbe";"Western_Xwla_Gbe";"Wolof";"Xwela_Gbe";"Yoabu";"Yom";"Yoruba";"Zarma";"Other"
"BJ0205";"Materi";"BJ02";"Atacora";116070;0;134;0;0;0;0;0;0;99247;0;0;6016;0;1950;0;0;368;0;0;0;0;0;78;267;67;390;0;0;0;6039;0;535;0;0;0;0;0;0;0;0;0;0;0;0;123;167;0;0;0;67;0;0;0;0;0;0;0;0;189;0;0;0;0;0;0;0;0;67;368
"BJ0206";"Natitingou";"BJ02";"Atacora";104110;0;836;0;286;0;0;3179;0;1254;0;88;3443;0;0;77;6369;38685;0;0;660;0;0;121;4873;2101;77;0;275;715;671;682;209;176;55;869;0;66;1221;0;671;451;1210;0;0;88;1430;0;0;110;0;0;0;0;1309;0;484;0;66;28335;0;0;0;0;0;0;1012;572;1144;242
"BJ0207";"Penhunco";"BJ02";"Atacora";81630;0;91;0;0;0;0;51049;0;147;0;0;23789;0;0;0;658;408;0;0;0;0;0;249;329;45;0;726;0;45;612;0;79;0;0;317;0;0;238;0;79;0;0;125;0;0;136;0;0;0;0;0;0;0;159;0;0;0;0;249;0;0;0;0;0;0;283;692;941;181
"BJ0208";"Taqnguiete";"BJ02";"Atacora";76480;0;100;0;0;0;0;477;0;11178;0;0;3763;0;4262;0;3019;2797;0;0;0;0;44;167;588;455;688;0;44;44;4229;122;821;0;0;0;0;0;67;0;133;1543;56;0;0;56;18837;0;0;0;0;0;0;0;189;0;0;0;0;21268;0;0;0;0;0;0;0;422;855;255
"BJ0209";"Toucountouna";"BJ02";"Atacora";39490;0;55;0;0;0;0;0;0;221;0;0;2702;0;0;0;0;3156;0;0;0;0;0;22;155;100;33;0;22;0;0;0;0;0;0;111;0;0;0;0;0;55;0;0;0;0;6290;0;0;0;0;0;0;0;100;0;0;0;0;26356;0;0;0;0;0;0;0;0;22;89
"BJ0301";"Abomey-Calavi";"BJ03";"Atlantique";667380;0;33850;0;933;0;95878;3719;0;899;0;0;400;0;0;0;5940;766;0;1032;9215;0;477;389;377227;15732;0;0;28821;755;0;17397;1077;0;0;511;5851;0;1144;0;13467;0;0;0;0;0;0;0;0;8526;0;0;0;0;14288;0;1210;2043;777;633;2043;799;4008;0;5651;0;433;6950;855;3686
"BJ0302";"Allada";"BJ03";"Atlantique";127330;0;1183;0;0;0;76192;144;0;0;0;0;0;0;0;0;77;0;0;0;177;0;66;0;43840;486;0;0;531;0;0;652;0;0;0;0;155;0;0;0;763;0;0;0;0;0;0;0;0;2057;0;0;0;0;221;0;0;0;0;0;0;0;144;0;0;0;0;265;0;376
"BJ0303";"Kpomasse";"BJ03";"Atlantique";70050;0;1744;0;0;0;8413;0;0;0;0;0;121;0;0;0;121;0;0;0;55;0;0;0;20622;0;0;0;1042;0;0;296;154;0;0;0;3049;0;0;0;110;0;0;0;0;0;0;0;0;16695;0;0;0;0;450;0;0;0;0;0;143;0;318;0;16498;0;0;77;0;143
"BJ0304";"Ouidah";"BJ03";"Atlantique";165170;0;8629;190;0;0;1585;145;0;0;0;0;580;0;0;0;737;0;0;0;324;0;335;190;117660;1150;0;0;10036;112;0;2188;514;0;0;0;994;100;0;0;603;0;0;0;0;0;0;0;0;3025;0;0;0;0;882;0;0;0;1462;0;1038;0;4209;0;6017;0;0;1317;357;793
"BJ0305";"So-Ava";"BJ03";"Atlantique";117560;0;0;0;0;0;17053;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;402;0;0;0;0;0;0;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99592;0;0;0;0;0;0;0;0;0;0;0;234
"BJ0306";"Toffo";"BJ03";"Atlantique";102010;0;5263;0;0;0;32429;66;0;0;0;0;0;0;0;0;99;0;0;0;110;2593;0;0;59430;0;0;0;254;0;0;276;0;88;0;0;0;0;0;0;320;0;0;0;0;0;0;0;0;143;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;563;0;265
"BJ0307";"Tori-Bossito";"BJ03";"Atlantique";58250;0;2012;0;0;0;16502;111;0;0;0;0;0;0;0;0;0;0;0;0;44;33;0;0;11628;33;0;0;309;0;0;210;66;44;0;0;122;0;0;0;88;0;0;0;0;0;0;0;0;5095;0;0;0;0;122;0;0;619;20968;0;0;0;0;0;55;0;0;77;0;111
"BJ0308";"Ze";"BJ03";"Atlantique";109670;0;545;0;0;0;89463;111;0;0;0;0;89;0;0;134;89;0;0;0;111;89;0;0;12985;0;0;0;278;0;0;601;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;223;0;0;0;67;0;0;4373;0;0;0;0;0;67;56;323
"BJ0401";"Bembereke";"BJ04";"Borgou";132630;0;456;0;0;0;78;66860;0;567;0;0;47889;0;0;0;1800;2123;0;0;678;0;0;89;2323;333;78;711;0;89;433;467;922;0;89;256;0;122;256;0;244;278;122;0;0;0;189;0;0;0;0;0;0;0;1289;0;78;0;0;300;0;0;0;0;100;0;489;567;1956;400
"BJ0402";"Kalale";"BJ04";"Borgou";174000;0;205;0;0;0;0;11904;0;0;1070;23717;124243;0;0;0;1036;137;0;0;171;0;0;0;262;0;0;6020;0;0;478;0;865;0;0;296;0;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;0;0;0;0;0;0;0;0;0;0;0;0;899;1536;615
