Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2020","2020","Kcal/personne/jour","1178","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2010","2010","Kcal/personne/jour","272","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2020","2020","Kcal/personne/jour","261","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2908","Cultures Sucrieres","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2908","Cultures Sucrieres","2020","2020","Kcal/personne/jour","5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2010","2010","Kcal/personne/jour","100","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2020","2020","Kcal/personne/jour","102","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2010","2010","Kcal/personne/jour","159","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2020","2020","Kcal/personne/jour","155","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2020","2020","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2010","2010","Kcal/personne/jour","45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2020","2020","Kcal/personne/jour","42","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2010","2010","Kcal/personne/jour","135","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2020","2020","Kcal/personne/jour","155","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2010","2010","Kcal/personne/jour","21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2020","2020","Kcal/personne/jour","23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2010","2010","Kcal/personne/jour","95","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2020","2020","Kcal/personne/jour","116","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2010","2010","Kcal/personne/jour","2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2020","2020","Kcal/personne/jour","2","E","Valeur estimée"
